EMP_ID, Opportunity, Collection Done,Percentage
T-1307,4679,3900,0.833564879
T-2732,750,750,1
10932,570,570,1
10990,950,950,1
10994,900,900,1
T-3137,570,570,1
11272,570,540,0.947368421
T-3348,750,750,1
T-3348,750,636,0.848
10074,1703,1703,1
T-1408,170,170,1
T-1306,4700,4700,1
T-887,400,400,1
T-887,400,400,1
T-1803,570,540,0.947368421
T-4964,570,500,0.877192982
T-5702,400,400,1
10991,215,215,1
10991,215,215,1
T-2434,570,540,0.947368421
T-2207,900,782,0.868888889
11347,200,200,1
11308,140,0,0
T-806,400,340,0.85
11308,550,0,0
2193,170,170,1
T-887,400,400,1
T-887,400,400,1
T-887,400,400,1
10897,170,170,1
T-3289,400,300,0.75
T-510,472,472,1
17082,210,210,1
11018,472,472,1
T-2544,215,215,1
10991,215,215,1
T-1604,570,506,0.887719298
T-1858,400,0,0
T-1858,400,0,0
T-654,162,162,1
11953,750,0,0
T-4033,570,570,1
T-4033,170,170,1
T-1709,750,700,0.933333333
T-3148,506,506,1
2535,750,0,0
16964,472,472,1
T-3852,215,0,0
11295,750,750,1
10798,570,570,1
T-4033,1703,1703,1
17065,483,483,1
T-5151,4700,4700,1
T-2723,1703,1703,1
11278,1062,1062,1
T-1909,1800,1800,1
T-3244,750,750,1
T-1609,170,170,1
T-3348,6558,6558,1
T-3137,900,900,1
11272,570,540,0.947368421
13052,400,400,1
T-338,672,672,1
T-3155,6194,6194,1
T-2880,170,170,1
10074,570,506,0.887719298
11380,1703,1703,1
T-2265,165,165,1
11295,750,750,1
11392,750,750,1
T-1937,400,400,1
T-697,400,400,1
T-1408,170,170,1
11066,400,340,0.85
 T-5231,570,570,1
10988,170,106,0.623529412
T-3172,570,570,1
11295,570,570,1
15365,472,472,1
10991,1800,1800,1
T-1858,170,170,1
15353,4800,4800,1
3762,750,750,1
T-1408,170,170,1
11272,570,540,0.947368421
10991,200,150,0.75
10991,215,215,1
T-2170,570,570,1
11320,2200,0,0
T-3852,400,400,1
11392,570,570,1
T-2141,1500,1500,1
T-2141,5800,5800,1
16381,3240,3240,1
T-2141,1500,1500,1
T-5146,2000,2000,1
T-2961,750,750,1
T-3148,1080,1080,1
T-1670,450,450,1
T-1563,4678,4678,1
T-3244,750,750,1
11092,900,900,1
10317,400,400,1
T-2535,3200,3200,1
T-2265,637,637,1
16709,900,900,1
11394,750,750,1
11394,750,750,1
11320,1100,1100,1
T-4676,570,500,0.877192982
17060,900,900,1
T-2723,1843,1843,1
10317,400,400,1
T-4676,570,500,0.877192982
T-1607,215,215,1
11517,560,560,1
T-4502,5546,5546,1
T-654,170,107,0.629411765
T-5574,900,900,1
11295,570,570,1
T-3137,170,106,0.623529412
17086,900,847,0.941111111
T-4258,750,750,1
T-4258,750,750,1
T-3148,750,750,1
10826,472,472,1
T-504,170,106,0.623529412
T-1599,570,506,0.887719298
T-2466,4700,4700,1
