EMP_ID,Deployment Count,Dep_UPI_Enabled,Service Count,Ser_UPI_Enabled
10067, 3 , 3 , 26 , 22 
10070, 3 , 3 , 19 , 16 
T-5341, 17 , 17 , 22 , 22 
T-5258, 42 , 38 , 69 , 67 
17085, 28 , 18 , 18 , 18 
11338, 14 , 10 , 33 , 32 
T-5232, 32 , 27 , 31 , 30 
11713, 18 , 16 , 46 , 44 
17080, 4 , 4 , 38 , 30 
16887, 7 , 5 , 26 , 20 
16967, 7 , 2 , 11 , 11 
17082, 31 , 26 , 92 , 86 
17076, 12 , 5 , 15 , 12 
17081, 20 , 16 , 36 , 36 
17083, 23 , 16 , 33 , 31 
T-5076, 2 , 2 , 17 , 14 
T-5129, -   , -   , 5 , 5 
T-5155, 1 , 1 , 11 , 9 
T-5148, 27 , 11 , 12 , 11 
T-4981, 4 , 2 , 11 , 10 
T-4983, 10 , 9 , 19 , 18 
T-5020, 18 , 17 , 12 , 10 
T-5124, 8 , 8 , 18 , 16 
T-4912, 14 , 6 , 35 , 32 
T-4933, 7 , 7 , 14 , 14 
T-4935, 24 , 8 , 21 , 19 
11358, 23 , 16 , 18 , 15 
11363, 4 , 3 , 33 , 30 
11464, 28 , 6 , 23 , 21 
11471, 11 , 7 , 48 , 45 
11473, 20 , 6 , 25 , 24 
11477, 20 , 13 , 46 , 44 
11649, 13 , 13 , 32 , 30 
11711, 52 , 17 , 15 , 15 
12447, 18 , 5 , 25 , 24 
16694, 4 , 3 , 20 , 20 
T-109, 11 , 9 , 13 , 12 
T-144, 1 , 1 , 5 , 5 
T-171, 8 , 7 , 20 , 20 
T-328, 5 , 5 , 13 , 13 
T-338, 19 , 13 , 23 , 23 
T-506, 15 , 8 , 12 , 10 
T-510, 7 , 5 , 15 , 15 
T-529, 7 , 6 , 20 , 17 
T-637, -   , -   , -   , -   
T-646, 50 , 10 , 27 , 26 
T-663, 27 , 22 , 24 , 23 
T-686, 9 , 7 , 14 , 13 
T-697, 22 , 7 , 15 , 14 
T-704, 26 , 12 , 38 , 35 
T-706, 54 , 48 , 46 , 40 
T-716, 36 , 25 , 77 , 58 
T-769, 38 , 11 , 38 , 32 
T-770, 18 , 4 , 22 , 21 
T-776, 21 , 4 , 6 , 5 
T-914, 16 , 16 , 26 , 23 
T-999, 30 , 9 , 40 , 37 
T-1009, 11 , 11 , 25 , 23 
T-1010, 23 , 9 , 27 , 26 
T-1138, 57 , 7 , 17 , 16 
T-1265, 31 , 17 , 31 , 31 
T-1672, 13 , 4 , 13 , 12 
T-1939, 8 , 8 , 22 , 19 
T-2010, 21 , 8 , 15 , 15 
T-2011, 13 , 12 , 36 , 33 
T-2201, 30 , 25 , 82 , 74 
T-2217, 23 , 10 , 41 , 39 
T-2265, 26 , 6 , 39 , 33 
T-2439, 15 , 7 , 50 , 47 
T-2648, 2 , 2 , 14 , 12 
T-2919, 39 , 4 , 23 , 22 
T-3127, 23 , 11 , 16 , 14 
T-3276, 31 , 2 , 7 , 7 
T-3289, 28 , 13 , 29 , 28 
T-3251, 8 , 6 , 19 , 16 
T-3349, 14 , 2 , 18 , 18 
T-3350, 4 , 4 , 20 , 19 
T-3351, 13 , 7 , 9 , 9 
T-3434, 13 , 2 , 15 , 14 
T-3433, 33 , 12 , 21 , 18 
T-3737, 6 , 5 , 9 , 8 
T-3738, 16 , 13 , 23 , 20 
T-3936, 20 , 15 , 52 , 49 
T-3907, 47 , 41 , 97 , 92 
T-3937, 41 , 23 , 55 , 54 
T-3847, 1 , 1 , 4 , 4 
T-3974, 21 , 6 , 17 , 17 
T-4078, 45 , 4 , 13 , 11 
T-4325, 3 , 1 , 15 , 14 
T-4354, 5 , 4 , 20 , 19 
T-4340, 7 , 6 , 9 , 9 
T-4480, 10 , 3 , 16 , 15 
T-3972, 21 , 20 , 29 , 22 
T-4661, 26 , 9 , 17 , 13 
T-4467, 16 , 4 , 8 , 8 
10022, -   , -   , -   , -   
10074, 22 , 20 , 77 , 73 
10825, 1 , 1 , -   , -   
10826, 30 , 14 , 44 , 43 
10894, 15 , 10 , 46 , 43 
10897, 18 , 6 , 23 , 21 
10914, -   , -   , -   , -   
10918, 13 , 7 , 28 , 27 
T-5145, 15 , 11 , 63 , 60 
T-5252, 16 , 7 , 16 , 15 
T-5156, -   , -   , 1 , 1 
10798, 31 , 29 , 39 , 39 
16705, 18 , 14 , 41 , 36 
16896, 10 , 6 , 13 , 13 
T-4081, 23 , 19 , 55 , 50 
T-4163, 9 , 5 , 29 , 26 
T-4263, 40 , 34 , 48 , 45 
T-4425, 17 , 10 , 101 , 99 
T-4434, 28 , 20 , 48 , 43 
T-4457, -   , -   , 7 , 7 
T-4460, 28 , 19 , 55 , 51 
T-4462, 12 , 12 , 73 , 66 
T-4495, 8 , 5 , 14 , 12 
T-4502, 22 , 12 , 41 , 39 
T-4663, 12 , 2 , 4 , 1 
T-4937, 12 , 12 , 21 , 19 
T-5110, 37 , 25 , 55 , 51 
11950, -   , -   , -   , -   
T-2643, -   , -   , -   , -   
T-2832, -   , -   , -   , -   
11293, -   , -   , 3 , 3 
17067, 100 , 99 , 56 , 55 
17065, 15 , 3 , 13 , 13 
17062, 13 , 8 , 55 , 54 
T-5257, 13 , 9 , 23 , 16 
T-5233, 19 , 7 , 29 , 28 
17078, 8 , 2 , 12 , 12 
17086, 28 , 11 , 28 , 28 
T-5152, 11 , 6 , 34 , 23 
T-5314, 10 , 9 , 13 , 11 
17060, 12 , 6 , 25 , 23 
17075, 24 , 9 , 27 , 20 
17061, 19 , 17 , 62 , 59 
16964, 37 , 14 , 50 , 46 
17063, 25 , 24 , 21 , 18 
T-4938, 3 , 3 , 3 , 3 
T-4513, 32 , 14 , 33 , 29 
T-4529, 25 , 21 , 91 , 83 
T-4531, 40 , 37 , 48 , 45 
T-4612, 48 , 25 , 64 , 61 
T-4615, 106 , 30 , 61 , 53 
T-4715, 12 , 9 , 58 , 55 
T-4843, 20 , 12 , 41 , 36 
T-4867, 9 , 4 , 11 , 5 
T-4882, 13 , 7 , 9 , 3 
T-4883, 7 , 3 , 4 , 3 
10927, 12 , 9 , 26 , 24 
10985, 10 , 10 , 9 , 9 
10988, 17 , 9 , 20 , 19 
10989, 2 , 1 , 13 , 13 
10994, 3 , 2 , 25 , 25 
10996, 21 , 3 , 9 , 7 
11018, 2 , 2 , 31 , 28 
11066, 25 , 16 , 51 , 50 
11092, 53 , 48 , 50 , 49 
11098, 56 , 19 , 44 , 40 
11107, 26 , 9 , 8 , 7 
11275, 18 , 4 , 35 , 32 
16966, 22 , 17 , 32 , 30 
11336, 10 , 3 , 36 , 35 
11347, 22 , 18 , 68 , 63 
11355, 1 , 1 , 7 , 7 
11356, 15 , 11 , 106 , 97 
11380, 19 , 14 , 116 , 102 
11386, 35 , 8 , 38 , 36 
11447, -   , -   , -   , -   
11466, -   , -   , -   , -   
11524, 13 , 10 , 55 , 50 
11717, 12 , 5 , 25 , 17 
12580, 49 , 32 , 56 , 52 
13912, 79 , 74 , 12 , 10 
2230, 9 , 4 , 15 , 15 
2496, 29 , 11 , 42 , 37 
2535, 17 , 4 , 23 , 21 
2920, -   , -   , 7 , 2 
3719, 21 , -   , 9 , 9 
3759, 20 , 17 , 75 , 73 
T-072, -   , -   , -   , -   
T-103, 5 , 3 , 21 , 20 
T-123, 24 , 20 , 35 , 33 
T-131, 12 , 11 , 26 , 26 
T-147, 12 , 9 , 31 , 29 
T-384, -   , -   , -   , -   
T-393, -   , -   , -   , -   
T-430, 7 , 6 , 15 , 13 
T-487, -   , -   , -   , -   
T-504, 28 , 14 , 15 , 11 
T-620, 55 , 24 , 19 , 17 
T-652, 22 , 14 , 23 , 22 
T-654, 25 , 18 , 79 , 73 
T-655, 42 , 6 , 42 , 39 
T-681, -   , -   , -   , -   
T-683, -   , -   , -   , -   
15365, 50 , 26 , 55 , 52 
T-806, 14 , 7 , 36 , 33 
T-838, 35 , 29 , 71 , 66 
15363, -   , -   , -   , -   
T-874, -   , -   , -   , -   
T-893, 15 , 10 , 8 , 8 
